env,method,alpha,fqe_mean,fqe_std,fqe_count,ood_mean_mean,ood_mean_std,ood_mean_count,ood_p50_mean,ood_p50_std,ood_p50_count,ood_p90_mean,ood_p90_std,ood_p90_count,ood_p95_mean,ood_p95_std,ood_p95_count
hopper-medium-replay-v2,iql_u,0.0,108.34678904215495,18.255563342529125,3,0.28754545251528424,0.005510583063811849,3,0.2581925590833028,0.005105416336587664,3,0.5171727220217387,0.011615897335722816,3,0.6108130713303882,0.013863350320983512,3
hopper-medium-replay-v2,iql_u,0.3,98.20877075195312,5.3081470412067375,3,0.2938932776451111,0.003904419664774227,3,0.26511700451374054,0.003991672355480324,3,0.5254883348941802,0.007261988869905515,3,0.6210642606019973,0.008613771967058538,3
hopper-medium-replay-v2,iql_u,0.5,100.56576283772786,2.1392578459142615,3,0.2927989463011424,0.005593643704080243,3,0.26329341034094494,0.005695857032909513,3,0.5242421448230744,0.007751286915181393,3,0.6202962776025135,0.00966944012915453,3
hopper-medium-replay-v2,iql_u,1.0,103.28490447998047,0.6572389337571315,3,0.300065279006958,0.0068322365764765785,3,0.269279087583224,0.007340598082392308,3,0.5362149139245352,0.007550585622377683,3,0.6353994597991304,0.007138822216444398,3
hopper-medium-replay-v2,td3bc_u,0.0,102.98154195149739,2.4986356205245053,3,0.27564295132954914,0.0009389058060691945,3,0.24814090629418692,0.0013377304379768213,3,0.4924297839403153,0.00026741731635592815,3,0.5799458195765811,0.001863000278188764,3
hopper-medium-replay-v2,td3bc_u,0.3,103.05926259358723,1.2417105530109542,3,0.27503031492233276,0.0003475887252044101,3,0.2473197504878044,0.0005854359431865748,3,0.49215979178746544,0.0012294528164533006,3,0.5790469100077945,0.002417112818250616,3
hopper-medium-replay-v2,td3bc_u,0.5,101.03819020589192,3.043404060374864,3,0.27503445744514465,0.0005621490376145727,3,0.2475383852918943,0.0010592931019692603,3,0.492154731353124,0.0014021848701550165,3,0.5799579769372939,0.0018129266262663453,3
hopper-medium-replay-v2,td3bc_u,1.0,103.05926259358723,1.2417105530109542,3,0.27503031492233276,0.0003475887252044101,3,0.2473197504878044,0.0005854359431865748,3,0.49215979178746544,0.0012294528164533006,3,0.5790469100077945,0.002417112818250616,3
walker2d-medium-v2,iql_u,0.0,270.28783162434894,12.053920850814073,3,0.25753509998321533,0.0014974087841246742,3,0.23273835082848868,0.002130755026587462,3,0.41478489339351654,0.002766784874283187,3,0.5008555481831232,0.0037475446325754146,3
walker2d-medium-v2,iql_u,0.3,266.9823303222656,36.12138293063546,3,0.2608436048030853,0.0026123190631954993,3,0.23524163663387299,0.003140482823524799,3,0.41886909107367204,0.003030761912761639,3,0.5067956775426863,0.001448738834411463,3
walker2d-medium-v2,iql_u,0.5,256.97601318359375,20.702360690871586,3,1.1484844088554382,0.7697546604057847,3,1.1474569042523701,0.7911101277045779,3,1.4370809147755306,0.8823079521164052,3,1.5481680730978644,0.8999929228333002,3
walker2d-medium-v2,iql_u,1.0,255.27579752604166,29.17071933699232,3,1.5731210708618164,0.0494847219644014,3,1.584907591342926,0.0610155792142849,3,1.9245227257410686,0.05917720253893681,3,2.052912437915802,0.0542306657547064,3
walker2d-medium-v2,td3bc_u,0.0,355.33001708984375,18.974580394494016,3,0.24946449200312296,0.00033207616894982207,3,0.22656216969092688,0.00023698961619552733,3,0.401770955324173,0.0015276603482798647,3,0.48355011790990826,0.00069856782767103,3
walker2d-medium-v2,td3bc_u,0.3,339.5830891927083,12.24352842526214,3,0.2495875209569931,0.0007592104457161983,3,0.22650515039761862,0.0008533631585534546,3,0.402185137073199,0.0016845962844113556,3,0.484231826663017,0.0015451178328929592,3
walker2d-medium-v2,td3bc_u,0.5,354.3962910970052,24.206265215765473,3,0.2495837757984797,0.0006380085381513134,3,0.22655656188726425,0.0007389563080747901,3,0.40237429638703665,0.0012696510554468577,3,0.48492065668106066,0.0007993171935933948,3
walker2d-medium-v2,td3bc_u,1.0,339.5830891927083,12.24352842526214,3,0.2495875209569931,0.0007592104457161983,3,0.22650515039761862,0.0008533631585534546,3,0.402185137073199,0.0016845962844113556,3,0.484231826663017,0.0015451178328929592,3
